designation,Area,Cent_x,Cent_y,Count
group100.1,38744,-86.73572606501081,41.68244248446216,37
group101.1,466226,-86.91885863299164,41.67767395403643,431
group102.1,120507,-86.15903730425208,41.678600657524996,144
group103.1,164371,-85.91024120516037,41.6778791349805,159
group104.1,18055,-85.0665192048875,41.671646053816666,24
group105.1,21747,-85.46080376097085,41.669408131716665,24
group106.1,43998,-85.04977211780889,41.66698804785111,45
group107.1,45677,-86.60035888527551,41.664979070467346,49
group108.1,224938,-86.32466116369743,41.66057044161544,272
group109.1,83557,-86.02632738813247,41.657006894109095,77
group110.1,8589,-87.52344289803334,41.65637813206667,3
group110.3,126551,-87.51997468039096,41.64730219744699,166
group111.1,676,-85.7061262821,41.6569767111,1
group112.1,505102,-86.152120769225,41.64648957518774,604
group113.1,46780,-87.51546023902777,41.64767549664629,54
group114.1,27693,-85.40578411331725,41.648151521879306,29
group115.1,106814,-85.95811983472419,41.64710695183736,91
group118.1,226621,-85.82358988937679,41.63680482878277,267
group119.1,114308,-85.01537920292857,41.63864170522232,112
group12.1,155136,-87.58454822037127,38.006394493449726,181
group120.1,185153,-86.6772647920218,41.63527737322749,211
group121.1,96924,-85.41892905777473,41.633816105,95
group121.2,27487,-85.41504033502083,41.633468827804165,24
group122.1,102057,-85.07182207725074,41.63466751991567,134
group124.1,82313,-86.73663508026748,41.63186478812651,83
group125.1,90179,-85.04535422151089,41.630791777353465,101
group126.1,33387,-86.69091041777429,41.62677393509714,35
group127.1,49669,-85.90414580477648,41.61854472092353,34
group128.1,71612,-87.14183446721944,41.61643638420278,72
group129.1,35297,-86.89549017927,41.61526613572333,30
group130.1,18929,-87.10978216252857,41.6090289851,21
group131.1,466887,-85.88321473922912,41.605483684808135,553
group132.1,172144,-85.858615275018,41.60032729313772,228
group132.2,26907,-85.84930932100953,41.597844990676194,42
group133.1,265476,-87.13769395699492,41.595893173379686,315
group133.2,16129,-87.14836482400952,41.60055810680952,21
group135.1,190160,-87.25482385038185,41.59291788326106,226
group135.2,53554,-87.2586492984486,41.59722831879444,72
group136.1,140949,-87.19577631654045,41.59555223389,220
group136.2,111409,-87.19179563004637,41.5919185700905,179
group136.3,18815,-87.20208417538437,41.59324614929375,32
group137.1,21699,-85.00982307211818,41.59567184248636,22
group138.1,327497,-85.88253900451102,41.59104865441888,408
group139.1,233898,-86.27975790255091,41.58821944080229,218
group140.1,37660,-84.9999596362087,41.57599803754565,46
group141.1,302483,-87.13894791221273,41.569502576368485,330
group142.1,204665,-87.09718944264922,41.56742640489791,191
group143.1,24564,-85.24889743885807,41.56982051602903,31
group143.2,19002,-85.24888516567084,41.56782053915417,24
group143.3,9397,-85.24967045001539,41.56577304126154,13
group149.1,127502,-86.04780400105548,41.75873885414671,137
group15.1,24164,-86.80088681947812,37.998542874428125,32
group150.1,82512,-85.65285955872021,41.75842414860958,94
group151.1,56537,-85.78235416510113,41.33367325362247,89
group152.1,30183,-85.75996520312896,41.33109184042632,38
group153.1,34549,-85.69948024789575,41.33109862965532,47
group153.2,26831,-85.69691591899047,41.331436961885714,42
group154.1,74418,-87.1979318803835,41.32336098622198,91
group155.1,20353,-85.59140597913809,41.32344944842857,21
group156.1,17497,-86.20203361128095,41.32218472898095,21
group157.1,44274,-85.13569326853062,41.32084597842857,49
group158.1,16900,-84.89602625789048,41.31751317122857,21
group159.1,39651,-85.7558365225087,41.31520874157826,46
group16.1,45126,-87.52415491101864,37.99486006542034,59
group160.1,19890,-85.7443166881077,41.30762323662308,26
group161.1,31125,-85.66215105558379,41.30765217446216,37
group162.1,31328,-85.72117285579782,41.301510052354345,46
group163.1,299359,-85.83931855376117,41.29726483300099,304
group164.1,225463,-87.30994985365574,41.29147935674631,244
group165.1,89267,-85.73435199994091,41.290833706092045,88
group167.1,124454,-85.81204053771,41.288247773078,150
group168.1,26404,-85.68876258503953,41.28488967183721,43
group170.1,49398,-86.0525998649091,41.27562016270546,55
group171.1,33832,-85.78857682984615,41.2675224449,52
group172.1,229766,-85.81124524869217,41.265238627337396,230
group173.1,80493,-85.84428824773366,41.26197855345049,101
group174.1,39925,-85.36041429319185,41.25753309426122,49
group174.2,23134,-85.36361109576538,41.260047283930774,26
group175.1,188422,-85.91618514838441,41.250168278066795,250
group176.1,10019,-87.4660963903077,41.24870798711538,13
group177.1,75649,-86.25244381905422,41.243835857110845,83
group178.1,31298,-85.37318977453421,41.23599651197105,38
group179.1,86650,-85.8075781906713,41.22931559353241,108
group179.2,28486,-85.81320077747779,41.230338005975,36
group179.3,5079,-85.81541800808573,41.233531816057145,7
group179.4,14659,-85.79883803619167,41.22831756361666,12
group179.5,19417,-85.8062552722625,41.22636455365,16
group179.6,55737,-85.80798905513026,41.22380489880526,76
group180.1,12032,-85.70028774094445,41.22770765653333,18
group181.1,36626,-85.3189542423394,41.225131634933334,33
group182.1,85144,-85.78248473874565,41.22011046652174,92
group182.2,28375,-85.78713034525384,41.22400825810513,39
group183.1,35030,-85.90976688995909,41.21742027821818,44
group184.1,56874,-84.96492517706956,41.21522777515217,69
group185.1,102276,-85.68634384987017,41.198118375068546,124
group186.1,140376,-85.89020751696862,41.194824615189546,153
group187.1,11298,-87.05111809532667,41.19325843988,15
group188.1,48335,-85.82182895246734,41.193635526853065,49
group189.1,28412,-87.18227846631613,41.18872439220645,31
group19.1,16840,-87.5349921297276,37.982118843106896,29
group192.1,19609,-87.32980683306,41.17852248249,20
group193.1,252452,-85.08628640886498,41.17607242734467,197
group193.2,33502,-85.07303453369444,41.177106133897226,36
group194.1,13321,-86.03558762904285,41.17671634562857,21
group195.1,22426,-86.04784217036539,41.17521341251539,26
group196.1,171516,-85.47755385456162,41.17093802167674,172
group197.1,91746,-85.4051837197823,41.162931232067706,96
group198.1,14933,-85.508238594625,41.159104319425,16
group199.1,9060,-85.49590898548666,41.15313864468,15
group2.1,37417,-87.261541646125,38.049396679207696,52
group200.1,72225,-87.31698893196261,41.15291359792348,115
group201.1,303925,-87.2709189688259,41.14841308144259,479
group202.1,714976,-85.20309913265272,41.143543021004824,643
group203.1,126868,-87.35168141282404,41.14225113525736,129
group204.1,246455,-85.18544440053236,41.13533107924727,275
group204.2,207330,-85.17923413922091,41.13006569820697,287
group204.3,209366,-85.18599398959768,41.12892552372525,301
group205.1,197215,-85.17248352877158,41.137050797471225,278
group206.1,81781,-84.86153502488571,41.12682413593265,98
group207.1,35705,-85.13345673088261,41.11340289465797,69
group208.1,41904,-85.90071439988378,41.10904270490811,74
group208.2,13652,-85.90981266515185,41.10778175603704,27
group209.1,41561,-85.14603221148309,41.10472188382769,65
group21.1,81281,-86.76827048414783,37.96907595152087,115
group21.2,15496,-86.76351003037917,37.96523758997083,24
group210.1,35956,-85.94656818095179,41.102903297960715,56
group211.1,16669,-85.15588380190476,41.10108340036191,21
group212.1,16704,-85.89782108628276,41.07923477523448,29
group212.2,16000,-85.89112678605001,41.08066111670385,26
group213.1,64583,-85.621330397296,41.07937660851867,75
group213.2,42235,-85.61645755856155,41.076467528133335,39
group215.1,36860,-85.06832352799265,41.073706654635295,68
group216.1,34058,-85.03579687400975,41.070899802131706,41
group216.2,45416,-85.03229332943731,41.07087470927164,67
group216.3,4682,-85.03138652307777,41.06956950685556,9
group217.1,104209,-86.2044327744543,41.06976548466293,116
group218.1,46247,-86.2272105131,41.063768633485964,57
group219.1,24322,-85.07237545245,41.06343106345,42
group22.1,71175,-87.37746511512728,37.96376661848485,66
group22.2,46978,-87.3807170409077,37.964561076686536,52
group221.1,221712,-85.04614676367892,41.05831207266054,185
group222.1,211402,-85.06186102377168,41.05143461516014,286
group223.1,243835,-86.2280053739691,41.05114730015,246
group224.1,41321,-85.74149868550407,41.05087135505306,49
group225.1,16263,-85.12548584977894,41.03469298126316,38
group225.2,26908,-85.11690896338888,41.032754108094444,36
group226.1,19693,-85.17990553585909,41.032927732159095,22
group227.1,102423,-85.07538621887768,41.01973508974793,121
group228.1,18460,-85.76416554002857,41.01631206124286,28
group229.1,114286,-85.10784002538637,41.01594414088712,132
group23.1,115340,-87.41732302753512,37.95199689038778,131
group230.1,248781,-85.16268969975116,41.004039715317944,301
group230.2,16746,-85.1683781855,41.012532761435715,28
group231.1,28564,-85.18133950007619,41.00785401930238,42
group232.1,81299,-85.78587855187105,41.003947185853946,76
group233.1,154637,-85.0917452424046,40.985117759128165,174
group233.2,39313,-85.08729091102033,40.98605608486102,59
group234.1,273425,-85.23439709110731,40.97071459818269,260
group235.1,62411,-84.86748311396912,40.967027028179416,68
group236.1,41200,-85.38273146256,40.96611392517,50
group237.1,114227,-85.37923518775276,40.948672705405514,127
group238.1,73366,-85.07275436491132,40.94462655388302,106
group239.1,32528,-87.1678724152561,40.932944947853656,41
group24.1,273584,-87.47454511391416,37.94345153994549,233
group240.1,169561,-85.1707707662665,40.9035153504835,194
group241.1,72532,-84.99222756844266,40.90348464856534,75
group242.1,30863,-85.47960053995277,40.894720770233334,36
group243.1,38860,-85.48659581810588,40.87082709551029,68
group243.2,15801,-85.479206874808,40.866668970716,25
group244.1,42339,-86.76922526677446,40.86866489935745,47
group244.2,16990,-86.77125849124614,40.86648629321538,26
group244.3,12948,-86.76649233311053,40.86781845288947,19
group245.1,44520,-86.88538769589614,40.864636385717304,52
group246.1,23168,-85.60477470237143,40.86026090235,28
group247.1,45794,-85.53638316438985,40.857733208262324,69
group248.1,105186,-85.52628649074538,40.85736955390168,119
group249.1,57588,-86.77021979274343,40.854890798057895,76
group25.1,81688,-87.51708728761668,37.93994440385392,102
group250.1,41242,-85.606770152666,40.853226940556,50
group251.1,84293,-86.78215065106423,40.83671331629174,109
group252.1,52649,-86.79542163602727,40.825200926092734,55
group252.2,62918,-86.78810595191493,40.82175046856567,67
group253.1,132146,-86.7927826057303,40.81079491470121,165
group254.1,24779,-85.88209314279334,40.80886268015667,30
group255.1,52678,-85.8110785820463,40.807164645225924,54
group256.1,33465,-84.95467148213409,40.803923974925,44
group257.1,32456,-85.90099139252092,40.796506265690695,43
group258.1,16735,-86.75307706305556,40.782376959977775,18
group258.2,10436,-86.75474145390909,40.78292554283637,11
group259.1,25737,-86.35638753242354,40.77537184212941,34
group260.1,89544,-86.07155924012754,40.76614021504638,69
group260.2,92898,-86.07010404269687,40.762901463958336,96
group261.1,19194,-86.53635865692273,40.76514661589545,22
group262.1,48972,-86.04515611742983,40.764076389535084,57
group263.1,36490,-86.39462601771703,40.75574134122128,47
group264.1,38041,-86.40500856323125,40.7540301198125,32
group265.1,7997,-86.87566834477273,40.751521257845454,11
group266.1,250062,-85.15857504225163,40.74521777486397,308
group266.2,38407,-85.15584470007347,40.752241572440816,49
group267.1,49123,-86.09117262077343,40.74861677439219,64
group268.1,65035,-86.07067448351,40.74575955873143,70
group269.1,42859,-85.80272733292286,40.74704080651143,35
group270.1,15820,-86.83188996330527,40.74527890601579,19
group271.1,37698,-85.1855123723561,40.74380523256829,41
group272.1,41013,-86.3574214211037,40.741696794637036,54
group273.1,69563,-85.18228176616512,40.73031250614303,86
group273.2,37643,-85.18684715795385,40.73369841966538,52
group274.1,83568,-86.28784948400882,40.724604306286274,102
group274.2,50063,-86.29092770635756,40.727730615540914,66
group275.1,104412,-86.130727660045,40.72308972015072,140
group275.2,14742,-86.12604253610476,40.72067877307619,21
group276.1,49030,-86.75009046376414,40.711849959698114,53
group277.1,51180,-86.12658157598474,40.67950656381187,59
group278.1,12441,-86.13617638734667,40.67760133866667,15
group279.1,20237,-85.87795876243999,40.663866890568,25
group279.2,15109,-85.88014753166819,40.665178772645454,22
group280.1,53398,-84.94594370501166,40.66051576815166,60
group281.1,48905,-86.10463477342857,40.657125216859185,49
group282.1,42739,-86.6786653669532,40.58951936402766,47
group283.1,25102,-85.87682942337354,40.585690144397056,34
group283.2,21104,-85.87057265121724,40.581422735124136,29
group284.1,9510,-84.96151143689374,40.5860461165125,16
group285.1,82043,-86.12938224859182,40.57851698706091,110
group286.1,40265,-86.183522290226,40.573499274314,50
group287.1,101004,-85.57533899894285,40.55671416725055,91
group288.1,34173,-85.59116706864167,40.552227836970836,48
group289.1,75475,-85.69056751103496,40.54601578565146,103
group289.2,41897,-85.691271644964,40.548748693988,50
group289.3,30597,-85.6884036043361,40.550109335480556,36
group29.1,44736,-87.05598322969826,37.893343641791226,57
group29.2,12304,-87.05271706646111,37.89237744828889,18
group290.1,31453,-85.28660676619167,40.55018219840278,36
group291.1,62905,-85.70654409655572,40.543784589167146,70
group292.1,54079,-85.67610002496198,40.549002650973236,71
group293.1,60754,-86.51637109348286,40.542639844752856,70
group294.1,226728,-85.62192989587803,40.53672892332564,273
group295.1,56309,-86.1286468801359,40.528206542069235,78
group296.1,33231,-85.64885062652439,40.520516716948784,41
group297.1,255630,-86.1245008045872,40.516898513589226,297
group297.2,161063,-86.13053081883189,40.51455103701693,254
group297.3,60580,-86.12802874032609,40.51168064372065,92
group298.1,441817,-86.87932866422743,40.51435817696588,463
group299.1,26865,-85.64634703264635,40.5086378724878,41
group3.1,184655,-87.35619618860974,38.046601013106155,195
group300.1,30520,-85.81700214278,40.50778647884286,35
group301.1,14333,-86.13298526302631,40.50276344068947,19
group302.1,29288,-85.14332459438684,40.486038925757896,38
group303.1,107224,-86.10470909983142,40.48259932722857,105
group304.1,68508,-85.9721643607512,40.48291259342619,84
group305.1,108706,-85.65067314646302,40.482241645212326,146
group306.1,27911,-86.83031528936924,40.480212042530766,39
group307.1,27746,-85.4888756189946,40.47470083448649,37
group308.1,43218,-85.63876691407307,40.47323629451346,52
group309.1,165842,-86.95040700336703,40.46951130016978,182
group310.1,55158,-85.37504779883913,40.46306224524203,69
group310.2,821,-85.374067228,40.4647754984,1
group311.1,276042,-86.96053089487559,40.456299265208635,336
group311.2,824,-86.962198354,40.4565888213,1
group312.1,94989,-84.97655219866435,40.4578644650574,115
group313.1,111031,-86.04317650973525,40.450819137685244,122
group315.1,43076,-86.88412304756429,40.44744333478,70
group316.1,53032,-85.37191500666418,40.43642176066268,67
group317.1,52922,-85.64352161253969,40.429141603644446,63
group318.1,28519,-84.99045419343044,40.426658817730434,23
group319.1,39953,-86.59604062374399,40.423654764164,50
group320.1,21182,-85.672885517725,40.42156702693571,28
group321.1,66675,-85.64211953402933,40.418166416232,75
group323.1,44285,-86.27502407949216,40.41339276252549,51
group324.1,125391,-86.12994039138883,40.4122336894795,161
group325.1,126338,-86.85544132366667,40.40844682945,150
group326.1,7277,-85.49361796551818,40.386564882845455,11
group327.1,161597,-86.83444800546344,40.37937320331989,186
group328.1,39994,-85.6544093076,40.38070970369565,46
group329.1,42279,-86.92724654709778,40.377349147151115,45
group330.1,52672,-86.94927816476812,40.3716794341029,69
group331.1,40569,-86.90419645622593,40.3613230005,54
group332.1,33936,-85.34555106961218,40.336830095724395,41
group333.1,23493,-85.49520006288077,40.31270122741538,26
group333.2,20139,-85.5009954569174,40.30954434638261,23
group334.1,24688,-85.2404272600564,40.304997642535895,39
group335.1,22613,-86.3662219496963,40.30221902432592,27
group336.1,29416,-85.02352101123513,40.295080485975674,37
group337.1,70412,-86.52384438256603,40.294461811866995,103
group338.1,36475,-86.03330911979347,40.29472102135652,46
group339.1,32189,-86.60911460304285,40.28922420922,35
group340.1,53465,-86.05067608854705,40.28536381701029,68
group341.1,79616,-86.02142336818922,40.2815743939147,102
group342.1,92908,-85.36983138763458,40.28004841684673,107
group343.1,41000,-87.255636071278,40.278010097522,50
group344.1,52905,-85.66955642310148,40.27517107411045,67
group345.1,95533,-85.43192100828384,40.27537394161212,99
group346.1,10947,-86.51901825947999,40.273447767453334,15
group347.1,92038,-85.81774019953407,40.26831761443956,91
group347.2,48913,-85.82006729551125,40.2638986940625,80
group348.1,10308,-85.72632516873,40.26765825771,10
group349.1,11954,-86.7213873705611,40.24990561345555,18
group350.1,41631,-85.66832980551965,40.249171897258925,56
group351.1,108967,-85.4552419167662,40.242091848186895,145
group352.1,130229,-85.3571002108528,40.22192744048451,142
group352.2,82737,-85.365503966131,40.231897400275,100
group353.1,59494,-85.76211835784267,40.224614980204,75
group353.2,55125,-85.7620661162017,40.222299905886445,59
group354.1,24185,-85.38443813153448,40.21579798828966,29
group355.1,23409,-86.02469522969285,40.211462603157145,28
group356.1,77296,-84.81985475907788,40.19306710115474,95
group357.1,9521,-85.12233929503847,40.19116688463846,13
group359.1,35723,-85.2113027457175,40.19011574178,40
group360.1,107766,-85.35759799625463,40.187378511036925,130
group361.1,46541,-85.45073311409195,40.183232571717745,62
group362.1,150627,-85.42053614366957,40.17969090698152,184
group362.2,273096,-85.426599694986,40.1770433285516,250
group363.1,17863,-85.39478711095454,40.176096123149996,22
group364.1,25005,-84.96145321468799,40.173728211252,25
group365.1,15938,-85.37432985621,40.17198684983,20
group366.1,48085,-85.67711826926143,40.16229558903,70
group367.1,18283,-84.98505107905518,40.1630885405069,29
group368.1,20047,-85.36296801811213,40.16088645867879,33
group369.1,120988,-85.36969157412258,40.151371062264516,93
group370.1,21245,-85.38819921740607,40.15042216880606,33
group371.1,18680,-87.38726152420416,40.14184674894583,24
group372.1,176708,-86.02951967502096,40.134623090269464,167
group373.1,19579,-85.67295848195172,40.133036696117244,29
group374.1,118806,-86.21743616396212,40.12879944391212,132
group375.1,27079,-86.61325228190293,40.12761898036765,34
group376.1,22758,-85.946406671125,40.12330083583214,28
